,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
650,37563426000244,POSTO TCHE,"RUA BENJAMIN CONSTANT,2054",,BAIRRO NORTE,RIO BRILHANTE,MS,Diesel S500,3.6900,'27/06/2018
651,37563426000244,POSTO TCHE,"RUA BENJAMIN CONSTANT,2054",,BAIRRO NORTE,RIO BRILHANTE,MS,Diesel S10,3.8000,'27/06/2018
652,39010798000198,POSTO ELEFANTINHO,"RUA FLORIANO PEIXOTO,1350",,CENTRO,LINS,SP,Gasolina C Comum,4.1590,'26/02/2019
653,39010798000198,POSTO ELEFANTINHO,"RUA FLORIANO PEIXOTO,1350",,CENTRO,LINS,SP,Etanol,2.8290,'26/02/2019
654,39010798000198,POSTO ELEFANTINHO,"RUA FLORIANO PEIXOTO,1350",,CENTRO,LINS,SP,Diesel S10,3.5990,'26/02/2019
655,40296824000175,KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA," ETR  MARECHAL ALENCASTRO,3660",,ANCHIETA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.8790,'06/03/2019
656,40296824000175,KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA," ETR  MARECHAL ALENCASTRO,3660",,ANCHIETA,RIO DE JANEIRO,RJ,Etanol,3.9970,'03/04/2019
657,40296824000175,KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA," ETR  MARECHAL ALENCASTRO,3660",,ANCHIETA,RIO DE JANEIRO,RJ,GNV,2.9980,'09/11/2018
658,40296824000175,KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA," ETR  MARECHAL ALENCASTRO,3660",,ANCHIETA,RIO DE JANEIRO,RJ,Diesel S500,3.6550,'29/03/2019
659,40296824000175,KEM COM REP TRANSP SERV EXP IMP PROD DERV PETROLEO LTDA," ETR  MARECHAL ALENCASTRO,3660",,ANCHIETA,RIO DE JANEIRO,RJ,Diesel S10,3.7990,'08/03/2019
660,41526112000168,POSTO SAO JOSE,"RODOVIA BR 142,S/N",KM 01,ZONA RURAL,PIO IX,PI,Gasolina C Comum,4.9000,'24/07/2018
661,41526112000168,POSTO SAO JOSE,"RODOVIA BR 142,S/N",KM 01,ZONA RURAL,PIO IX,PI,Diesel S10,3.5500,'24/07/2018
662,41798398000130,POSTO LAMPARINA,"RODOVIA BR 135,SN",KM: 510;,CENTRO,BUENOPOLIS,MG,Gasolina C Comum,5.1490,'08/10/2018
663,41798398000130,POSTO LAMPARINA,"RODOVIA BR 135,SN",KM: 510;,CENTRO,BUENOPOLIS,MG,Etanol,3.5690,'08/10/2018
664,41798398000130,POSTO LAMPARINA,"RODOVIA BR 135,SN",KM: 510;,CENTRO,BUENOPOLIS,MG,Diesel S10,3.9890,'08/10/2018
665,42299370000111,POSTO RUBI,"RUA BELISÁRIO PENA,760",,PENHA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.8590,'05/11/2018
666,42299370000111,POSTO RUBI,"RUA BELISÁRIO PENA,760",,PENHA,RIO DE JANEIRO,RJ,Etanol,3.3990,'05/11/2018
667,42299370000111,POSTO RUBI,"RUA BELISÁRIO PENA,760",,PENHA,RIO DE JANEIRO,RJ,GNV,2.8990,'05/11/2018
668,42299370000111,POSTO RUBI,"RUA BELISÁRIO PENA,760",,PENHA,RIO DE JANEIRO,RJ,Diesel S500,3.5590,'05/11/2018
669,42299370000111,POSTO RUBI,"RUA BELISÁRIO PENA,760",,PENHA,RIO DE JANEIRO,RJ,Diesel S10,3.6590,'05/11/2018
670,48299440000118,"KOIKE, KOIKE & CIA LTDA","AVENIDA IRMAS CINTRA,525",,CENTRO,SAO MANUEL,SP,Gasolina C Comum,4.5000,'20/06/2018
671,48299440000118,"KOIKE, KOIKE & CIA LTDA","AVENIDA IRMAS CINTRA,525",,CENTRO,SAO MANUEL,SP,Etanol,2.9800,'20/06/2018
672,48299440000118,"KOIKE, KOIKE & CIA LTDA","AVENIDA IRMAS CINTRA,525",,CENTRO,SAO MANUEL,SP,Diesel S500,3.4100,'20/06/2018
673,53328944000159,AUTO POSTO BANDEIRA,"AVENIDA JOAO PESSOA,1426",,PEDREGULHO,GUARATINGUETA,SP,Gasolina C Comum,4.1790,'19/04/2019
674,53328944000159,AUTO POSTO BANDEIRA,"AVENIDA JOAO PESSOA,1426",,PEDREGULHO,GUARATINGUETA,SP,Etanol,3.0790,'19/04/2019
675,53328944000159,AUTO POSTO BANDEIRA,"AVENIDA JOAO PESSOA,1426",,PEDREGULHO,GUARATINGUETA,SP,Diesel S500,3.4990,'19/04/2019
676,53328944000159,AUTO POSTO BANDEIRA,"AVENIDA JOAO PESSOA,1426",,PEDREGULHO,GUARATINGUETA,SP,Diesel S10,3.5990,'19/04/2019
677,58662446000161,AUTO POSTO 4R LTDA.,"RODOVIA PRESIDENTE DUTRA,S/N",KM 124,CAMPO GRANDE,CACAPAVA,SP,Gasolina C Comum,4.1790,'19/04/2019
678,58662446000161,AUTO POSTO 4R LTDA.,"RODOVIA PRESIDENTE DUTRA,S/N",KM 124,CAMPO GRANDE,CACAPAVA,SP,Etanol,2.8990,'19/04/2019
679,58662446000161,AUTO POSTO 4R LTDA.,"RODOVIA PRESIDENTE DUTRA,S/N",KM 124,CAMPO GRANDE,CACAPAVA,SP,Diesel S500,3.3490,'19/04/2019
680,58662446000161,AUTO POSTO 4R LTDA.,"RODOVIA PRESIDENTE DUTRA,S/N",KM 124,CAMPO GRANDE,CACAPAVA,SP,Diesel S10,3.4490,'19/04/2019
681,61109229000153,AUTO POSTO DA FÉ LTDA,"AVENIDA CONSELHEIRO CARRÃO,3481", ,VILA CARRÃO,SAO PAULO,SP,Gasolina C Comum,4.2990,'31/07/2018
682,61109229000153,AUTO POSTO DA FÉ LTDA,"AVENIDA CONSELHEIRO CARRÃO,3481", ,VILA CARRÃO,SAO PAULO,SP,Etanol,2.5990,'31/07/2018
683,61109229000153,AUTO POSTO DA FÉ LTDA,"AVENIDA CONSELHEIRO CARRÃO,3481", ,VILA CARRÃO,SAO PAULO,SP,Diesel S10,3.4390,'31/07/2018
684,70056510000166,POSTO GONZAGAO,"RODOVIA ASA BRANCA BR 122 KM 38,SN",,CENTRO,EXU,PE,Gasolina C Comum,4.6590,'07/01/2019
